AREA;CIUDAD;CONGLOMERADO;ZONA;SECTOR;PANELM;VIVIENDA;HOGAR;AR01;AR01A;AR01B;AR01C;AR01D;AR01E;AR01F;AR01G;AR02;AR03;AR04;AR05;AR06;AR07;AR08;AR09;AR10;AR11;AR12;AR13A;AR13B;plan_muestreo;fexp
1;10150;999999;001;003;013;2;1; ;4;5;5;7;7;6;7;2;5;1200;1500;2;1;1;1;1;1;2;2;2;1013;258,511094645465
1;10150;999999;001;003;013;3;1; ;9;5;8;8;7;5;7;2;6;800;1500;1;1;1;1;1;1;1;1;2;1013;258,511094645465
1;10150;999999;001;003;013;4;1; ;10;7;10;10;5;0;10;2;5;1200;2500;3;2;2;1;1;1;1;1;2;1013;258,511094645465
1;10150;999999;001;003;023;1;1; ;4;2;5;8;8;8;6;2;5;500;800;1;2;2;1;1;2;2;2;2;1013;258,511094645465
1;10150;999999;001;003;023;2;1; ;7;7;7;7;5;2;7;2;5;800;1000;1;1;2;2;1;1;1;2;2;1013;258,511094645465
1;10150;999999;001;003;023;3;1; ;8;9;7;7;5;8;8;1;4;300;600;2;2;1;2;1;1;2;2;2;1013;258,511094645465
1;10150;999999;001;003;113;1;1; ;8;9;9;8;8;8;8;2;7;2500;2500;2;2;2;1;1;1;1;2;2;1013;258,511094645465
1;10150;999999;001;003;113;2;1; ;10;6;8;7;7;3;8;2;7;800;1200;1;1;1;1;1;1;1;2;2;1013;258,511094645465
1;10150;999999;001;003;113;3;1; ;9;9;9;10;9;0;9;2;5;1500;2000;1;2;2;1;1;1;2;2;2;1013;258,511094645465
1;10150;999999;001;003;123;1;1; ;5;6;4;3;6;1;5;1;5;500;700;2;2;2;1;2;1;1;2;2;1013;258,511094645465
1;10150;999999;001;003;123;2;1;1;9;9;10;8;10;5;10;2;8;500;600;1;1;1;1;1;1;1;2;2;1013;258,511094645465
1;10150;999999;001;003;123;4;1;1;5;7;4;3;3;1;6;2;5;400;700;3;3;1;1;1;1;2;2;2;1013;258,511094645465
1;10150;999999;001;004;013;1;1; ;9;9;9;8;7;7;8;2;5;600;1000;1;2;1;1;1;1;1;1;2;1013;55,8429507417533
1;10150;999999;001;004;013;2;1; ;8;6;5;4;6;8;7;1;4;600;900;1;3;1;2;1;2;2;2;2;1013;55,8429507417533
1;10150;999999;001;004;013;3;1;1;10;10;6;8;9;8;8;2;5;500;1000;1;2;1;2;1;1;2;2;2;1013;55,8429507417533
1;10150;999999;001;004;023;1;1; ;5;5;5;5;5;0;5;1;5;200;1000;2;2;1;1;1;1;1;2;2;1013;55,8429507417533
1;10150;999999;001;004;023;2;1;1;99;9;10;10;6;10;9;2;8;700;700;2;2;1;1;1;2;1;1;2;1013;55,8429507417533
1;10150;999999;001;004;023;3;1;1;99;10;8;10;9;8;8;2;5;300;300;1;1;1;2;1;1;2;2;2;1013;55,8429507417533
1;10150;999999;001;004;113;1;1;1;10;7;7;10;9;6;6;2;5;800;1200;1;1;1;2;2;1;2;2;2;1013;55,8429507417533
1;10150;999999;001;004;113;2;1;1;5;5;5;8;6;8;8;1;4;1000;2000;1;3;1;1;1;1;1;1;1;1013;55,8429507417533
1;10150;999999;001;004;113;3;1; ;10;8;4;6;8;0;8;2;5;700;700;1;1;1;2;1;1;1;1;2;1013;55,8429507417533
1;10150;999999;001;004;123;1;1;1;5;6;6;5;8;9;9;1;3;200;380;1;3;1;1;1;1;2;2;2;1013;55,8429507417533
1;10150;999999;001;004;123;2;1;1;4;8;7;9;7;4;9;2;6;4000;4000;2;2;2;1;1;1;2;2;2;1013;55,8429507417533
